名稱,地址,價格,網址
鉅星大廈,永和區中和路381號,49.5萬/坪,https://market.591.com.tw/36228
昇陽國詠-麗晶區,永和區信義路16巷6號,77.5萬/坪,https://market.591.com.tw/53957
永和成功華廈,永和區成功路二段100號,62.6萬/坪,https://market.591.com.tw/11062
名流大廈,永和區永平路170號,50.0萬/坪,https://market.591.com.tw/11081
得和天廈,永和區中正路129巷2號,57.5萬/坪,https://market.591.com.tw/25781
詠大賞,永和區文化路136號,70.0萬/坪,https://market.591.com.tw/5854627
中正御邸,永和區永和路二段419號,48.1萬/坪,https://market.591.com.tw/25891
日景頂曦,永和區復興街32巷16號,48.3萬/坪,https://market.591.com.tw/44489
億安和和,永和區中正路666巷、國光路12巷,94.0萬/坪,https://market.591.com.tw/5936703
台鳳天璽,永和區環河西路一段93號,60.2萬/坪,https://market.591.com.tw/11054
台大御園,13,44.8萬/坪,https://market.591.com.tw/25775
國泰民樂,永和區民樂街35巷1號,74.9萬/坪,https://market.591.com.tw/5933960
仁愛沐光,永和區仁愛路306巷25號,72.5萬/坪,https://market.591.com.tw/102002
詠和頌,永和區中正路662巷旁,78.0萬/坪,https://market.591.com.tw/5934858
長虹華府,永和區永元路112號,69.4萬/坪,https://market.591.com.tw/28740
捷運新都星,永和區信義路28號,72.3萬/坪,https://market.591.com.tw/11098
雄邦馨苑,永和區保平路176號,71.3萬/坪,https://market.591.com.tw/36156
現代大廈,永和區永和路二段201號,52.3萬/坪,https://market.591.com.tw/28718
永平路26號住商大樓,永和區永平路26號,55.1萬/坪,https://market.591.com.tw/36130
城市經典,永和區中山路一段126號,72.4萬/坪,https://market.591.com.tw/25780
弘暉青川,永和區仁愛路352巷70號,68.1萬/坪,https://market.591.com.tw/5904746
福星金融,永和區永和路一段67號,38.7萬/坪,https://market.591.com.tw/28676
雍河院,永和區保福路二段88巷17號,75.3萬/坪,https://market.591.com.tw/11082
朗廂,永和區秀朗路一段220巷5號,63.4萬/坪,https://market.591.com.tw/34425
天佑吉星,永和區中興街67號,54.1萬/坪,https://market.591.com.tw/36097
恆詠,永和區中山路一段100號,64.2萬/坪,https://market.591.com.tw/3681552
吉明秀,永和區秀朗路二段133號,70.0萬/坪,https://market.591.com.tw/36202
福臨天廈,永和區中正路312號,32.3萬/坪,https://market.591.com.tw/10917
永和桂冠,永和區信義路12巷1號,53.0萬/坪,https://market.591.com.tw/10947
新生報,永和區水源街43巷2號,49.5萬/坪,https://market.591.com.tw/36193
詠和心,永和區中正路480號,63.7萬/坪,https://market.591.com.tw/3677432
雄霸天下,永和區中正路511號,56.8萬/坪,https://market.591.com.tw/10954
家格綻綻,永和區中正路607號,64.0萬/坪,https://market.591.com.tw/3694919
自由扉扉,永和區自由街、秀朗路一段路口,63.4萬/坪,https://market.591.com.tw/104628
頂溪捷韻,永和區中山路一段99巷1號,50.4萬/坪,https://market.591.com.tw/100025
仁愛101,永和區仁愛路99號,76.7萬/坪,https://market.591.com.tw/11095
公園四季,永和區安樂路144巷18號,71.3萬/坪,https://market.591.com.tw/25859
都市天地,永和區環河東路一段106號,49.4萬/坪,https://market.591.com.tw/10934
頂溪仁里,永和區中興街44巷2號,74.2萬/坪,https://market.591.com.tw/5880885
久泰逸品,49,67.6萬/坪,https://market.591.com.tw/40352
御景花園,永和區民樂街57巷10號,30.4萬/坪,https://market.591.com.tw/11036
文化路113巷22號華廈,永和區文化路113巷22號,65.2萬/坪,https://market.591.com.tw/5900054
君國天下商業大廈,永和區中正路89號,59.1萬/坪,https://market.591.com.tw/28702
龐畢度,永和區中山路一段142號,49.1萬/坪,https://market.591.com.tw/25760
翠堤香榭,永和區竹林路39巷36號,53.8萬/坪,https://market.591.com.tw/28672
自由天第,永和區自由街76號,61.0萬/坪,https://market.591.com.tw/11049
台北U2,永和區復興街102號,71.6萬/坪,https://market.591.com.tw/28763
漢皇極品喬治五世,永和區中正路465巷23號,54.4萬/坪,https://market.591.com.tw/11074
永和帝王,永和區中正路657號,71.7萬/坪,https://market.591.com.tw/10998
敦南一品花園大樓,永和區民有街67巷15號,59.9萬/坪,https://market.591.com.tw/25904
福砌,永和區保安路105巷9號,未提供價格,https://market.591.com.tw/3674559
捷運新宿,永和區中興街10巷4號,70.5萬/坪,https://market.591.com.tw/36100
忠孝麟居,永和區忠孝街11號,46.7萬/坪,https://market.591.com.tw/25894
仁愛麗晶,永和區仁愛路306巷50號,68.5萬/坪,https://market.591.com.tw/36127
漢皇美緹,永和區環河東路二段42號,54.2萬/坪,https://market.591.com.tw/3516221
福和大廈,永和區林森路90號,38.1萬/坪,https://market.591.com.tw/11011
溫哥華大廈,永和區福和路315號,38.4萬/坪,https://market.591.com.tw/11065
漢皇德居,永和區秀朗路二段80號,62.8萬/坪,https://market.591.com.tw/28765
中正金典,永和區中正路467號,55.9萬/坪,https://market.591.com.tw/28684
漾世代,永和區仁愛路309號,58.2萬/坪,https://market.591.com.tw/36151
萬象之都,永和區永和路二段147號,62.6萬/坪,https://market.591.com.tw/10991
For Park,永和區得和路23號,66.7萬/坪,https://market.591.com.tw/36217
同國富大廈,永和區中山路一段1號,66.0萬/坪,https://market.591.com.tw/25898
民有印象,永和區民有街100號,67.3萬/坪,https://market.591.com.tw/5876426
永安時代,永和區中和路535號,81.8萬/坪,https://market.591.com.tw/25871
仁愛皇家大廈,永和區仁愛路282巷38號,72.7萬/坪,https://market.591.com.tw/28752
星喬和峰,永和區自由街36號,66.6萬/坪,https://market.591.com.tw/104402
信義錄,永和區信義路97號,50.1萬/坪,https://market.591.com.tw/11002
易晨家,永和區保福路二段115號,61.0萬/坪,https://market.591.com.tw/36089
竹林路66巷華廈,永和區竹林路66巷10弄16號,53.5萬/坪,https://market.591.com.tw/5899933
永盈世紀,永和區中正路338號,41.8萬/坪,https://market.591.com.tw/3669742
陽光花園,永和區環河西路一段51巷10弄1號,62.3萬/坪,https://market.591.com.tw/28693
福銘華廈,永和區福和路139號,45.0萬/坪,https://market.591.com.tw/10910
敦南宴,永和區永利路216巷,86.5萬/坪,https://market.591.com.tw/5936305
星喬逸家人,永和區永利路8號,71.6萬/坪,https://market.591.com.tw/5888920
華旺興,永和區福和路101號,60.2萬/坪,https://market.591.com.tw/10987
成功路二段華廈,永和區成功路二段193號,61.3萬/坪,https://market.591.com.tw/36273
凱旋門翡翠,永和區保順路39號,62.8萬/坪,https://market.591.com.tw/10935
台大小品,永和區林森路122號之1,12.7萬/坪,https://market.591.com.tw/11048
統領新鑽,永和區中正路641號,52.5萬/坪,https://market.591.com.tw/11021
台大公館,永和區福和路48號,42.8萬/坪,https://market.591.com.tw/10937
豫溪街50號華廈,永和區豫溪街50號,60.2萬/坪,https://market.591.com.tw/36120
民有街75巷10弄華廈,永和區民有街75巷10弄3號,44.1萬/坪,https://market.591.com.tw/5899878
皇翔銘園,永和區福和路316號,74.0萬/坪,https://market.591.com.tw/28712
泰隆柏園,永和區保順路45號,49.2萬/坪,https://market.591.com.tw/10907
信義雙星,永和區信義路25巷30弄9號,56.0萬/坪,https://market.591.com.tw/25892
朝代大第,永和區成功路二段27號,53.6萬/坪,https://market.591.com.tw/10980
亞特蘭大,永和區保安路270號,59.6萬/坪,https://market.591.com.tw/25750
福和金星大樓,永和區福和路213號,46.0萬/坪,https://market.591.com.tw/11063
台大崇園,永和區永元路17巷9號,43.3萬/坪,https://market.591.com.tw/10962
世紀花園,永和區中山路一段215號,49.7萬/坪,https://market.591.com.tw/11012
三傑大廈,永和區竹林路33號,53.8萬/坪,https://market.591.com.tw/28750
金富臻品,永和區中山路一段128巷8號,65.4萬/坪,https://market.591.com.tw/50979
榕元伊頓,永和區中正路257號,71.1萬/坪,https://market.591.com.tw/28717
國華商業大樓,永和區中正路588號,51.1萬/坪,https://market.591.com.tw/11047
福林LOFT,永和區雙和街64巷11號,79.0萬/坪,https://market.591.com.tw/5868880
新伅,永和區秀朗路一段80號,74.0萬/坪,https://market.591.com.tw/10952
樹琴,永和區中正路738號,72.7萬/坪,https://market.591.com.tw/11097
富都吉祥大廈,永和區仁愛路306巷18弄1號,57.9萬/坪,https://market.591.com.tw/25867
金璧輝煌,永和區中正路222號,48.3萬/坪,https://market.591.com.tw/10975
仁愛歐堡翡翠區,永和區仁愛路306巷18弄15號,52.6萬/坪,https://market.591.com.tw/36125
星和王道大廈,永和區永和路一段171號,60.3萬/坪,https://market.591.com.tw/25884
世界大廈,永和區中山路一段227號,60.2萬/坪,https://market.591.com.tw/28743
摩登崇光,永和區中山路一段311號,65.2萬/坪,https://market.591.com.tw/28695
